population,variant,allocation,top_quintile_return_mean,bottom_quintile_return_mean,short_leg_contribution_mean,spread_mean,mean_turnover_two_legs,break_even_cost_bps
gbp_fixed,broad,equal_group,0.0168763045893717,0.0127005440466919,-0.0127005440466919,0.0041757605426798,0.8134304772290746,51.335186713244354
gbp_fixed,broad,equal_signal,0.0181728941960844,0.0100217927675063,-0.0100217927675063,0.0081511014285781,0.8328513193203557,97.86982669643564
gbp_fixed,broad,inverse_redundancy,0.0180557697090393,0.0136377852509085,-0.0136377852509085,0.0044179844581307,0.8045388789609247,54.91324998285477
gbp_fixed,broad,trailing_positive_evidence,0.0170992052965407,0.0128374448587487,-0.0128374448587487,0.0042617604377919,0.8823670749513077,48.2991779586413
gbp_fixed,broad_deduplicated,equal_group,0.0171546620926703,0.01284658288893,-0.01284658288893,0.0043080792037402,0.8360097348779718,51.531447829002005
gbp_fixed,broad_deduplicated,equal_signal,0.0190338024724366,0.0099466165238735,-0.0099466165238735,0.009087185948563,0.8546931447988332,106.32103467615651
gbp_fixed,broad_deduplicated,inverse_redundancy,0.018084263386756,0.013312874672837,-0.013312874672837,0.004771388713919,0.8270812639328415,57.68947891807683
gbp_fixed,broad_deduplicated,trailing_positive_evidence,0.0173568275664196,0.0125497864004236,-0.0125497864004236,0.004807041165996,0.9167972577888746,52.43297932183599
gbp_fixed,native,equal_group,0.0163053031910667,0.0124920626791701,-0.0124920626791701,0.0038132405118965,0.883723963166944,43.14967875524432
gbp_fixed,native,equal_signal,0.0154539825933391,0.013930669817966,-0.013930669817966,0.001523312775373,0.938431188440674,16.23254634049603
gbp_fixed,native,inverse_redundancy,0.0162979694334035,0.0124453591238113,-0.0124453591238113,0.0038526103095922,0.8829772698720649,43.63204400664138
gbp_fixed,native,trailing_positive_evidence,0.0156534688250342,0.012218849539123,-0.012218849539123,0.0034346192859112,0.7884987455444954,43.55896956487146
us_domestic_fixed,us_deduplicated,equal_group,0.0158667033067494,0.0205776834796935,-0.0205776834796935,-0.004710980172944,0.6380929973868015,-73.8290530100941
us_domestic_fixed,us_deduplicated,equal_signal,0.0157826227082971,0.0209528364114319,-0.0209528364114319,-0.0051702137031348,0.6444242161347424,-80.22997233322099
us_domestic_fixed,us_deduplicated,inverse_redundancy,0.0158665285460746,0.0219436148177029,-0.0219436148177029,-0.0060770862716282,0.6035344863469865,-100.69161595737442
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,0.0145730590098912,0.0254277460245216,-0.0254277460245216,-0.0108546870146304,0.7217294177341647,-150.39828982873075
us_domestic_fixed,us_eligible,equal_group,0.0153999200264017,0.0206628590335278,-0.0206628590335278,-0.005262939007126,0.6059716210948723,-86.85124556851189
us_domestic_fixed,us_eligible,equal_signal,0.0148916313900116,0.0216784283847322,-0.0216784283847322,-0.0067867969947206,0.6163088227561913,-110.12006877281753
us_domestic_fixed,us_eligible,inverse_redundancy,0.0165508912301119,0.0210752789579748,-0.0210752789579748,-0.0045243877278628,0.5835544663669664,-77.53154141772352
us_domestic_fixed,us_eligible,trailing_positive_evidence,0.0135010387559801,0.0255684020974737,-0.0255684020974737,-0.0120673633414935,0.7527293029013236,-160.31478109037334
us_domestic_fixed,us_native,equal_group,0.0154125789300186,0.020740466655627,-0.020740466655627,-0.0053278877256083,0.7574830000113144,-70.33673000620104
us_domestic_fixed,us_native,equal_signal,0.014892925884573,0.0230299153812206,-0.0230299153812206,-0.0081369894966475,0.7434899749373436,-109.4431636059818
us_domestic_fixed,us_native,inverse_redundancy,0.0147528327765841,0.0230375370475141,-0.0230375370475141,-0.0082847042709299,0.7412639443889445,-111.76456555915904
us_domestic_fixed,us_native,trailing_positive_evidence,0.0198209022615662,0.0226472776342375,-0.0226472776342375,-0.0028263753726712,0.8148666585919355,-34.68512722750357
