period,dates,broad_any_score_min,broad_any_score_median,broad_any_score_max,broad_at_least_1000_min,broad_at_least_1000_median,broad_at_least_1000_max,representatives_any_score_min,representatives_any_score_median,representatives_any_score_max,representatives_at_least_1000_min,representatives_at_least_1000_median,representatives_at_least_1000_max
Full 121-date panel,121,80,112.0,112,0,112.0,112,75,106.0,106,0,106.0,106
Reported 103-date return comparison,103,80,112.0,112,74,112.0,112,75,106.0,106,70,106.0,106
2016,7,80,80.0,80,0,74.0,74,75,75.0,75,0,70.0,70
2017,12,80,108.0,109,0,80.0,108,75,102.0,103,0,75.0,102
2018,12,109,110.0,110,0,109.0,110,103,104.0,104,0,103.0,104
2019,12,110,112.0,112,0,110.0,111,104,106.0,106,0,104.0,105
2020,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2021,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2022,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2023,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2024,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2025,12,112,112.0,112,0,112.0,112,106,106.0,106,0,106.0,106
2026,6,107,112.0,112,0,112.0,112,101,106.0,106,0,106.0,106
